hour,long_coord,lat_coord,concentration(ppt)
1,-3.445,55.705,0.0017556
1,-3.395,55.705,0.0204756
1,-3.395,55.755,0.0006516
1,-3.345,55.705,0.0282756
1,-3.345,55.755,0.0020356
1,-3.295,55.705,0.0268756
1,-3.295,55.755,0.0014756
1,-3.245,55.655,0.0006516
1,-3.245,55.705,0.0254756
1,-3.245,55.755,0.0012036
1,-3.195,55.705,0.0168756
1,-3.195,55.755,0.0012036
1,-3.145,55.655,0.0006516
1,-3.145,55.705,0.0072756
1,-3.145,55.755,0.0014756
1,-3.095,55.705,0.0020256
1,-3.095,55.755,0.0006516
2,-3.445,55.705,0.0012026
2,-3.395,55.705,0.0053356
2,-3.395,55.755,0.0045156
2,-3.345,55.705,0.0188756
2,-3.345,55.755,0.0083856
2,-3.295,55.705,0.0348756
2,-3.295,55.755,0.0160756
2,-3.245,55.705,0.0373756
2,-3.245,55.755,0.0182756
2,-3.195,55.655,0.0009266
2,-3.195,55.705,0.0430756
2,-3.195,55.755,0.0213756
2,-3.145,55.655,0.0020256
2,-3.145,55.705,0.0590756
2,-3.145,55.755,0.0202756
2,-3.095,55.655,0.0023056
2,-3.095,55.705,0.0458756
2,-3.095,55.755,0.0171756
2,-3.045,55.655,0.0050556
2,-3.045,55.705,0.0345756
2,-3.045,55.755,0.0133756
2,-2.995,55.655,0.0058856
2,-2.995,55.705,0.0282756
2,-2.995,55.755,0.0061756
2,-2.945,55.655,0.0047856
2,-2.945,55.705,0.0193756
2,-2.945,55.755,0.0061756
2,-2.895,55.655,0.0045056
2,-2.895,55.705,0.0127756
2,-2.895,55.755,0.0025856
2,-2.845,55.655,0.0028556
2,-2.845,55.705,0.0075456
2,-2.845,55.755,0.0014756
2,-2.795,55.655,0.0020256
2,-2.795,55.705,0.0064456
2,-2.795,55.755,0.0006516
2,-2.745,55.605,0.0006506
2,-2.745,55.655,0.0009266
2,-2.745,55.705,0.0014756
2,-2.745,55.755,0.0012036
2,-2.695,55.655,0.0009266
2,-2.695,55.705,0.0009276
2,-2.645,55.705,0.0009276
2,-2.595,55.655,0.0006516
3,-3.445,55.755,0.0014756
3,-3.395,55.705,0.0012026
3,-3.395,55.755,0.0092156
3,-3.345,55.705,0.0025856
3,-3.345,55.755,0.0227756
3,-3.295,55.705,0.0053356
3,-3.295,55.755,0.0304756
3,-3.245,55.705,0.0100256
3,-3.245,55.755,0.0403756
3,-3.245,55.805,0.0006516
3,-3.195,55.705,0.0122756
3,-3.195,55.755,0.0437756
3,-3.195,55.805,0.0006516
3,-3.145,55.705,0.0218756
3,-3.145,55.755,0.0472756
3,-3.145,55.805,0.0017556
3,-3.095,55.705,0.0282756
3,-3.095,55.755,0.0555756
3,-3.095,55.805,0.0031356
3,-3.045,55.655,0.0012026
3,-3.045,55.705,0.0301756
3,-3.045,55.755,0.0530756
3,-3.045,55.805,0.0056256
3,-2.995,55.655,0.0017556
3,-2.995,55.705,0.0351756
3,-2.995,55.755,0.0566756
3,-2.995,55.805,0.0056256
3,-2.945,55.655,0.0014756
3,-2.945,55.705,0.0362756
3,-2.945,55.755,0.0472756
3,-2.945,55.805,0.0081156
3,-2.945,55.855,0.0006526
3,-2.895,55.655,0.0023056
3,-2.895,55.705,0.0309756
3,-2.895,55.755,0.0437756
3,-2.895,55.805,0.0042456
3,-2.845,55.655,0.0036856
3,-2.845,55.705,0.0309756
3,-2.845,55.755,0.0354756
3,-2.845,55.805,0.0039656
3,-2.795,55.655,0.0034056
3,-2.795,55.705,0.0262756
3,-2.795,55.755,0.0249756
3,-2.795,55.805,0.0045256
3,-2.745,55.655,0.0069856
3,-2.745,55.705,0.0257756
3,-2.745,55.755,0.0199756
3,-2.745,55.805,0.0050756
3,-2.695,55.655,0.0056056
3,-2.695,55.705,0.0157756
3,-2.695,55.755,0.0177756
3,-2.695,55.805,0.0025856
3,-2.645,55.655,0.0050556
3,-2.645,55.705,0.0149756
3,-2.645,55.755,0.0133756
3,-2.645,55.805,0.0017556
3,-2.595,55.605,0.0006506
3,-2.595,55.655,0.0036856
3,-2.595,55.705,0.0122756
3,-2.595,55.755,0.0086556
3,-2.595,55.805,0.0017556
3,-2.545,55.605,0.0009256
3,-2.545,55.655,0.0031356
3,-2.545,55.705,0.0083756
3,-2.545,55.755,0.0064456
3,-2.545,55.805,0.0014856
3,-2.495,55.655,0.0045056
3,-2.495,55.705,0.0078256
3,-2.495,55.755,0.0028656
3,-2.445,55.655,0.0028556
3,-2.445,55.705,0.0050656
3,-2.445,55.755,0.0028656
3,-2.395,55.655,0.0020256
3,-2.395,55.705,0.0025856
3,-2.395,55.755,0.0006516
3,-2.345,55.655,0.0012026
3,-2.345,55.705,0.0012026
3,-2.345,55.755,0.0006516
3,-2.295,55.705,0.0014756
3,-2.245,55.705,0.0006516
4,-3.445,55.755,0.000927862
4,-3.395,55.705,0.000651403
4,-3.395,55.755,0.009487922
4,-3.345,55.705,0.000927207
4,-3.345,55.755,0.026331908
4,-3.295,55.705,0.00203042
4,-3.295,55.755,0.035444235
4,-3.295,55.805,0.00065197
4,-3.245,55.705,0.001478814
4,-3.245,55.755,0.049803031
4,-3.245,55.805,0.002862927
4,-3.195,55.705,0.002306224
4,-3.195,55.755,0.056430164
4,-3.195,55.805,0.007284842
4,-3.145,55.705,0.00203042
4,-3.145,55.755,0.055877905
4,-3.145,55.805,0.014746821
4,-3.095,55.705,0.003133634
4,-3.095,55.755,0.053944993
4,-3.095,55.805,0.021103325
4,-3.095,55.855,0.001482394
4,-3.045,55.705,0.004788454
4,-3.045,55.755,0.052564339
4,-3.045,55.805,0.028841681
4,-3.045,55.855,0.000652299
4,-2.995,55.705,0.006443275
4,-2.995,55.755,0.04897464
4,-2.995,55.805,0.030776268
4,-2.995,55.855,0.000928997
4,-2.945,55.655,0.000651106
4,-2.945,55.705,0.008098095
4,-2.945,55.755,0.057534691
4,-2.945,55.805,0.035750924
4,-2.945,55.855,0.002865887
4,-2.895,55.655,0.000926613
4,-2.895,55.705,0.010304522
4,-2.895,55.755,0.053392729
4,-2.895,55.805,0.033539965
4,-2.895,55.855,0.004802778
4,-2.845,55.705,0.008098095
4,-2.845,55.755,0.053116597
4,-2.845,55.805,0.034645442
4,-2.845,55.855,0.005356174
4,-2.795,55.655,0.000651106
4,-2.795,55.705,0.010580325
4,-2.795,55.755,0.05201208
4,-2.795,55.805,0.034092701
4,-2.795,55.855,0.005632873
4,-2.795,55.905,0.000652598
4,-2.745,55.655,0.001202119
4,-2.745,55.705,0.009752916
4,-2.745,55.755,0.045937201
4,-2.745,55.805,0.029670788
4,-2.745,55.855,0.005632873
4,-2.695,55.655,0.00257965
4,-2.695,55.705,0.011959343
4,-2.695,55.755,0.038757804
4,-2.695,55.805,0.02911805
4,-2.695,55.855,0.005632873
4,-2.645,55.655,0.003406169
4,-2.645,55.705,0.011407737
4,-2.645,55.755,0.035996494
4,-2.645,55.805,0.02801257
4,-2.645,55.855,0.00618627
4,-2.595,55.655,0.003406169
4,-2.595,55.705,0.014717376
4,-2.595,55.755,0.029645484
4,-2.595,55.805,0.022485175
4,-2.595,55.855,0.007016367
4,-2.545,55.655,0.003130663
4,-2.545,55.705,0.016096392
4,-2.545,55.755,0.024122861
4,-2.545,55.805,0.019997848
4,-2.545,55.855,0.003972682
4,-2.545,55.905,0.000929596
4,-2.495,55.655,0.003681675
4,-2.495,55.705,0.012510949
4,-2.495,55.755,0.023018337
4,-2.495,55.805,0.014746821
4,-2.495,55.855,0.003419284
4,-2.495,55.905,0.000652598
4,-2.445,55.655,0.003406169
4,-2.445,55.705,0.009752915
4,-2.445,55.755,0.024951254
4,-2.445,55.805,0.011430385
4,-2.445,55.855,0.002035792
4,-2.445,55.905,0.001206595
4,-2.395,55.605,0.00092602
4,-2.395,55.655,0.003681675
4,-2.395,55.705,0.009477112
4,-2.395,55.755,0.017771848
4,-2.395,55.805,0.010324908
4,-2.395,55.855,0.001205696
4,-2.395,55.905,0.000652598
4,-2.345,55.605,0.00065081
4,-2.345,55.655,0.0047837
4,-2.345,55.705,0.010856129
4,-2.345,55.755,0.012525361
4,-2.345,55.805,0.005902994
4,-2.345,55.855,0.000652299
4,-2.295,55.605,0.00092602
4,-2.295,55.655,0.003406169
4,-2.295,55.705,0.009477112
4,-2.295,55.755,0.008935659
4,-2.295,55.805,0.003692036
4,-2.295,55.855,0.000652299
4,-2.245,55.605,0.00065081
4,-2.245,55.655,0.003406169
4,-2.245,55.705,0.009477112
4,-2.245,55.755,0.008659528
4,-2.245,55.805,0.003692036
4,-2.245,55.855,0.001482394
4,-2.195,55.655,0.002855157
4,-2.195,55.705,0.005891668
4,-2.195,55.755,0.004517564
4,-2.195,55.805,0.002862927
4,-2.145,55.555,0.000650514
4,-2.145,55.655,0.003130663
4,-2.145,55.705,0.003961044
4,-2.145,55.755,0.00313691
4,-2.145,55.805,0.000928339
4,-2.095,55.605,0.00092602
4,-2.095,55.655,0.001477625
4,-2.095,55.705,0.002306224
4,-2.095,55.755,0.002860778
4,-2.095,55.805,0.00065197
4,-2.045,55.605,0.00065081
4,-2.045,55.655,0.001202119
4,-2.045,55.705,0.001478814
4,-2.045,55.755,0.000927862
4,-1.995,55.555,0.000650514
4,-1.995,55.605,0.00065081
4,-1.995,55.655,0.001753131
4,-1.995,55.705,0.000927207
4,-1.995,55.755,0.000651731
4,-1.995,55.805,0.00065197
4,-1.945,55.655,0.000926613
4,-1.945,55.705,0.000651403
4,-1.895,55.755,0.000651731
4,-1.845,55.505,0.000650219
4,-1.795,55.505,0.000924838
4,-1.745,55.455,0.000649924
5,-3.445,55.705,0.001478814
5,-3.445,55.755,0.001756255
5,-3.395,55.705,0.008925504
5,-3.395,55.755,0.011696968
5,-3.345,55.705,0.009201308
5,-3.345,55.755,0.025779649
5,-3.295,55.705,0.014441572
5,-3.295,55.755,0.042899766
5,-3.245,55.705,0.011959342
5,-3.245,55.755,0.04814625
5,-3.245,55.805,0.002033818
5,-3.195,55.705,0.009752916
5,-3.195,55.755,0.062505038
5,-3.195,55.805,0.008113951
5,-3.145,55.705,0.010304522
5,-3.145,55.755,0.056154032
5,-3.145,55.805,0.012259495
5,-3.145,55.855,0.000928997
5,-3.095,55.705,0.006719078
5,-3.095,55.755,0.052012071
5,-3.095,55.805,0.023037914
5,-3.095,55.855,0.001759093
5,-3.045,55.705,0.005340061
5,-3.045,55.755,0.045937205
5,-3.045,55.805,0.029394418
5,-3.045,55.855,0.00231249
5,-2.995,55.705,0.006167471
5,-2.995,55.755,0.04124298
5,-2.995,55.805,0.033816333
5,-2.995,55.855,0.004802778
5,-2.995,55.905,0.000652598
5,-2.945,55.705,0.007270685
5,-2.945,55.755,0.03737715
5,-2.945,55.805,0.041001951
5,-2.945,55.855,0.00618627
5,-2.945,55.905,0.000929596
5,-2.895,55.705,0.006994881
5,-2.895,55.755,0.039310068
5,-2.895,55.805,0.041831055
5,-2.895,55.855,0.007846462
5,-2.895,55.905,0.001206595
5,-2.895,55.955,0.000652869
5,-2.845,55.705,0.006167471
5,-2.845,55.755,0.038205546
5,-2.845,55.805,0.047082073
5,-2.845,55.855,0.01227364
5,-2.845,55.905,0.001760591
5,-2.795,55.705,0.008098095
5,-2.795,55.755,0.03848167
5,-2.795,55.805,0.042936532
5,-2.795,55.855,0.012827037
5,-2.795,55.905,0.003145582
5,-2.795,55.955,0.000652869
5,-2.745,55.705,0.009201308
5,-2.745,55.755,0.039310068
5,-2.745,55.805,0.04459475
5,-2.745,55.855,0.014487229
5,-2.745,55.905,0.003145582
5,-2.695,55.655,0.000926613
5,-2.695,55.705,0.009477112
5,-2.695,55.755,0.032406794
5,-2.695,55.805,0.049569395
5,-2.695,55.855,0.013103735
5,-2.695,55.905,0.001760591
5,-2.645,55.655,0.000651106
5,-2.645,55.705,0.008649702
5,-2.645,55.755,0.040966849
5,-2.645,55.805,0.04818755
5,-2.645,55.855,0.015317326
5,-2.645,55.905,0.003145582
5,-2.645,55.955,0.000930137
5,-2.595,55.655,0.001202119
5,-2.595,55.705,0.007546488
5,-2.595,55.755,0.034615843
5,-2.595,55.805,0.041554682
5,-2.595,55.855,0.01836101
5,-2.595,55.905,0.001483593
5,-2.595,55.955,0.000652869
5,-2.545,55.655,0.001753131
5,-2.545,55.705,0.008373898
5,-2.545,55.755,0.02909322
5,-2.545,55.805,0.036856401
5,-2.545,55.855,0.017254216
5,-2.545,55.905,0.002037589
5,-2.545,55.955,0.000652869
5,-2.495,55.655,0.001753131
5,-2.495,55.705,0.008098095
5,-2.495,55.755,0.028817089
5,-2.495,55.805,0.034645447
5,-2.495,55.855,0.013933831
5,-2.495,55.905,0.001760591
5,-2.445,55.655,0.001753131
5,-2.445,55.705,0.010304522
5,-2.445,55.755,0.022189944
5,-2.445,55.805,0.026907093
5,-2.445,55.855,0.011443543
5,-2.445,55.905,0.002314588
5,-2.395,55.655,0.004508194
5,-2.395,55.705,0.011959343
5,-2.395,55.755,0.022466076
5,-2.395,55.805,0.029947161
5,-2.395,55.855,0.012550339
5,-2.395,55.905,0.002868584
5,-2.395,55.955,0.000652869
5,-2.345,55.605,0.00065081
5,-2.345,55.655,0.003406169
5,-2.345,55.705,0.009752916
5,-2.345,55.755,0.026055781
5,-2.345,55.805,0.025525241
5,-2.345,55.855,0.011166846
5,-2.345,55.905,0.002868584
5,-2.345,55.955,0.000652869
5,-2.295,55.605,0.00065081
5,-2.295,55.655,0.003130663
5,-2.295,55.705,0.008098095
5,-2.295,55.755,0.022466076
5,-2.295,55.805,0.018892366
5,-2.295,55.855,0.008953256
5,-2.295,55.905,0.002591586
5,-2.245,55.605,0.001201229
5,-2.245,55.655,0.004508194
5,-2.245,55.705,0.010304522
5,-2.245,55.755,0.02108542
5,-2.245,55.805,0.01723415
5,-2.245,55.855,0.006462969
5,-2.245,55.905,0.002037589
5,-2.195,55.605,0.00065081
5,-2.195,55.655,0.003130663
5,-2.195,55.705,0.012786752
5,-2.195,55.755,0.016667324
5,-2.195,55.805,0.015852301
5,-2.195,55.855,0.006462969
5,-2.195,55.905,0.001483593
5,-2.145,55.605,0.00092602
5,-2.145,55.655,0.003957182
5,-2.145,55.705,0.010856129
5,-2.145,55.755,0.017495717
5,-2.145,55.805,0.010324908
5,-2.145,55.855,0.002865887
5,-2.145,55.905,0.001206595
5,-2.145,55.955,0.000652869
5,-2.095,55.555,0.000650514
5,-2.095,55.605,0.00065081
5,-2.095,55.655,0.003130663
5,-2.095,55.705,0.009201308
5,-2.095,55.755,0.016943456
5,-2.095,55.805,0.009772168
5,-2.095,55.855,0.002589189
5,-2.095,55.905,0.000652598
5,-2.045,55.555,0.000925428
5,-2.045,55.655,0.003957182
5,-2.045,55.705,0.008649702
5,-2.045,55.755,0.00921179
5,-2.045,55.805,0.007008472
5,-2.045,55.855,0.002035792
5,-2.045,55.905,0.001206595
5,-1.995,55.555,0.000925428
5,-1.995,55.605,0.00065081
5,-1.995,55.655,0.004508194
5,-1.995,55.705,0.006719078
5,-1.995,55.755,0.00617435
5,-1.995,55.805,0.003139297
5,-1.995,55.855,0.00231249
5,-1.995,55.905,0.000652598
5,-1.945,55.605,0.001476439
5,-1.945,55.655,0.0047837
5,-1.945,55.705,0.006443275
5,-1.945,55.755,0.005069826
5,-1.945,55.805,0.002862927
5,-1.945,55.855,0.001205696
5,-1.895,55.505,0.000650219
5,-1.895,55.555,0.000650514
5,-1.895,55.605,0.00065081
5,-1.895,55.655,0.005059207
5,-1.895,55.705,0.003961044
5,-1.895,55.755,0.002032386
5,-1.895,55.805,0.002033818
5,-1.895,55.855,0.000928997
5,-1.845,55.605,0.00092602
5,-1.845,55.655,0.003130663
5,-1.845,55.705,0.003409437
5,-1.845,55.755,0.002860778
5,-1.845,55.805,0.000928339
5,-1.845,55.855,0.000928997
5,-1.795,55.605,0.001751649
5,-1.795,55.655,0.002028638
5,-1.795,55.705,0.003961044
5,-1.795,55.755,0.001480124
5,-1.795,55.855,0.000652299
5,-1.745,55.505,0.000650219
5,-1.745,55.605,0.00092602
5,-1.745,55.655,0.001753131
5,-1.745,55.705,0.002306224
5,-1.745,55.755,0.002032386
5,-1.745,55.805,0.00065197
5,-1.745,55.855,0.000652299
5,-1.695,55.505,0.000650219
