"","year","region","date_deploy","time_deploy","decimal_latitude_at_deployment_wgs84","decimal_longitude_at_deployment_wgs84","date_retrieve","time_retrieve","dec_lat_retrieve","dec_long_retrieve","sum_micro_m3","fibres_lte5mm_m3","beads_lte5mm_m3","polystyrene_lte5mm_m3","fragments_lte5mm_m3","film_lte5mm_m3","nurdles_lte5mm_m3","paint_flakes_lte5mm_m3"
"1",2015,"Argyll","16/01/2015","20:40",56.75867,-6.94433,"16/01/2015","21:32",56.80333,-6.84217,0.0059,0,0,0,0.0059,0,0,0
"2",2016,"Argyll","11/01/2016","02:12",56.67817,-6.41033,"11/01/2016","03:20",56.60167,-6.47533,0.068,0,0,0,0.068,0,0,0
"3",2016,"Argyll","11/01/2016","03:25",56.59617,-6.48183,"11/01/2016","04:25",56.5415,-6.5745,0.0664,0,0.0133,0,0.0266,0.0133,0.0133,0
"4",2016,"Argyll","11/01/2016","04:29",56.538,-6.58117,"11/01/2016","05:29",56.48367,-6.67967,0.1036,0,0.0296,0,0.074,0,0,0
"5",2016,"Argyll","11/01/2016","06:33",56.32233,-6.73783,"11/01/2016","07:31",56.24017,-6.72933,0.153,0,0,0,0.136,0.0085,0.0085,0
"6",2016,"Argyll","11/01/2016","08:32",56.08167,-6.69433,"11/01/2016","09:40",55.99167,-6.68067,0.4343,0,0.0223,0,0.373,0.0223,0.0167,0
"7",2016,"Argyll","11/01/2016","12:01",55.61567,-6.608,"11/01/2016","13:21",55.53017,-6.50583,0.0677,0,0,0,0.0677,0,0,0
"8",2016,"Argyll","14/01/2016","10:53",55.68583,-5.878,"14/01/2016","12:54",55.84067,-5.7935,0.1571,0,0,0,0.1257,0.021,0.0105,0
"9",2016,"Argyll","14/01/2016","15:15",56.01783,-5.74183,"14/01/2016","15:57",56.078,-5.7025,0.154,0,0,0,0.11,0.044,0,0
"10",2018,"Argyll","10/01/2018","05:36",56.1545,-6.15667,"10/01/2018","06:43",56.11467,-6.30367,0.016,0,0,0,0.016,0,0,0
"11",2018,"Argyll","10/01/2018","06:50",56.11233,-6.3125,"10/01/2018","07:52",56.07517,-6.45467,0.011,0,0,0,0.011,0,0,0
"12",2018,"Argyll","10/01/2018","13:01",56.14583,-6.46633,"10/01/2018","14:00",56.19983,-6.5535,0.0179,0,0.006,0,0.0119,0,0,0
"13",2018,"Argyll","10/01/2018","14:39",56.25467,-6.69517,"10/01/2018","16:15",56.38,-6.77133,0.0813,0.0041,0.0081,0,0.061,0.0081,0,0
